Depth ft,No Core,Minutes,ft by Hr,Torque Min ft-lbf,Torque Max ft-lbf,Head RPM,WOB lb,Flow gpm,SPP psi,ToB 60 rpm,ToB 80 rpm,ToB 100 rpm,ToB,OffBTM Press,Core,Corehead,Lgth barrel,Depth in,Cut lgth,Rec. lgth,% rec,ROP
1475.0,1.0,2.0,30.0,1612,1793.0,75,10000,38,110,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1476.0,2.0,5.0,12.0,1540,1800.0,75,12000,38,157,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1477.0,3.0,8.0,7.5,1616,1746.0,75,15000,35,100,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1478.0,4.0,10.0,6.0,1830,1846.0,75,17000,35,100,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1479.0,5.0,13.0,4.6,1265,1300.0,75,17000,35,62,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1480.0,6.0,14.0,4.3,1356,1380.0,75,17000,120,165,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1481.0,7.0,10.0,6.0,1210,1350.0,75,17000,120,165,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1482.0,8.0,12.0,5.0,1850,1940.0,75,20000,120,165,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1483.0,9.0,17.0,3.5,1342,1362.0,75,20000,120,165,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1484.0,10.0,16.0,3.8,1104,1340.0,75,20000,120,165,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1485.0,11.0,13.0,4.6,1100,1280.0,75,20000,120,165,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1486.0,12.0,13.0,4.6,1080,1200.0,75,19000,120,165,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1487.0,13.0,15.0,4.0,1080,1160.0,75,19000,94,230,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1488.0,14.0,8.0,7.5,1326,1473.0,75,19000,94,63,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1489.0,15.0,5.0,12.0,1659,1810.0,75,19000,60,72,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1490.0,16.0,4.0,15.0,1480,1500.0,75,22000,35,170,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1491.0,17.0,3.0,20.0,1686,1700.0,75,22000,35,180,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1492.0,18.0,4.0,15.0,1700,1750.0,75,22000,35,180,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1493.0,19.0,5.0,12.0,1139,1234.0,75,24000,35,88,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1494.0,20.0,3.0,20.0,1297,1300.0,75,24000,35,87,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1495.0,21.0,4.0,15.0,1200,1382.0,75,24000,35,85,1030,1100,1230,1047,60,1,51538 CM468,20,1474.0,21.0,14.33,68.0,6.8
1496.0,1.0,1.0,60.0,1400,1900.0,79,8000,36,110,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1497.0,2.0,1.0,60.0,1814,1930.0,79,8000,36,110,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1498.0,3.0,1.0,60.0,1910,2044.0,79,10000,36,93,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1499.0,4.0,1.0,60.0,2000,2317.0,79,10000,36,91,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1500.0,5.0,1.0,60.0,2100,2580.0,79,10000,36,80,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1501.0,6.0,1.0,60.0,2100,2230.0,79,10000,36,80,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1502.0,7.0,1.0,60.0,2100,2219.0,79,10000,36,83,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1503.0,8.0,1.0,60.0,2100,2246.0,79,10000,36,88,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1504.0,9.0,1.0,60.0,2250,2350.0,79,10000,36,60,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1505.0,10.0,3.0,20.0,2500,2780.0,79,10000,36,60,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1506.0,11.0,3.0,20.0,2074,2694.0,79,13000,85,159,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1507.0,12.0,4.0,15.0,1829,2056.0,79,13000,85,160,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1508.0,13.0,7.0,8.6,1570,1764.0,79,13000,93,175,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1509.0,14.0,5.0,12.0,1400,1600.0,79,13000,93,175,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1510.0,15.0,2.0,30.0,1810,2400.0,79,13000,36,68,927,1090,1200,1090,63,2,83661 MCP 562,20,1495.0,15.0,12.91,86.0,27.3
1511.0,1.0,1.0,60.0,1321,1550.0,88,10000,41,120,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1512.0,2.0,1.0,60.0,1700,1731.0,88,10000,41,150,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1513.0,3.0,2.0,30.0,1800,1940.0,88,12000,41,150,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1514.0,4.0,3.0,20.0,1733,1845.0,88,12000,41,146,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1515.0,5.0,2.0,30.0,2099,2141.0,88,12000,41,150,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1516.0,6.0,3.0,20.0,2223,2300.0,88,12000,41,150,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1517.0,7.0,9.0,6.7,1190,1360.0,88,12000,65,270,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1518.0,8.0,6.0,10.0,1866,1920.0,88,16000,82,270,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1519.0,9.0,3.0,20.0,1900,2081.0,88,16000,62,150,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1520.0,10.0,4.0,15.0,1810,1900.0,88,16000,52,135,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1521.0,11.0,11.0,5.5,1190,1244.0,88,16000,132,450,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1522.0,12.0,5.0,12.0,1627,1690.0,88,16000,122,220,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1523.0,13.0,2.0,30.0,1824,2004.0,88,16000,68,150,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1524.0,14.0,2.0,30.0,2600,3000.0,88,16000,68,190,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1525.0,15.0,1.0,60.0,1819,2510.0,88,16000,52,153,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1526.0,16.0,1.0,60.0,1924,2318.0,88,16000,52,153,1060,1190,1250,1190,65,3,83661 MCP 562,20,1510.0,16.0,15.16,95.0,17.2
1527.0,1.0,2.0,30.0,2300,2316.0,90,7000,44,150,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1528.0,2.0,3.0,20.0,1723,2306.0,90,8000,44,131,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1529.0,3.0,3.0,20.0,1840,2136.0,90,8000,44,138,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1530.0,4.0,5.0,12.0,2229,2276.0,90,8000,44,150,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1531.0,5.0,5.0,12.0,2200,2405.0,90,12000,44,145,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1532.0,6.0,4.0,15.0,1700,1762.0,90,12000,44,150,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1533.0,7.0,4.0,15.0,1790,1880.0,90,12000,44,170,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1534.0,8.0,2.0,30.0,2197,2370.0,90,15000,44,160,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1535.0,9.0,2.0,30.0,2087,2284.0,90,15000,44,175,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1536.0,10.0,2.0,30.0,2385,2999.0,90,15000,44,181,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1537.0,11.0,4.0,15.0,3175,3341.0,90,15000,44,250,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
1538.0,12.0,3.0,20.0,2136,2216.0,90,15000,44,150,1100,1183,1300,1290,63,4,83661 MCP 562,40,1526.0,23.0,19.5,85.0,17.3
